Country Name,Country Code,Series Name,Series Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Afghanistan,AFG,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,61.6371750441572,60.8719056790228,59.8526540961945,59.0025399171689,56.7226890756302,54.3494198640771,52.7909099883452,50.4166883853554,47.6973147130215,44.7985939684023,44.593516271076,44.3371365256191,43.9890310514772,44.4535996123663,45.0160398729983,45.9834078243144,46.5878230132384,46.5890700291054,..
Afghanistan,AFG,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,31.114854912062,28.6359685844686,30.1050113574013,24.8922700059742,29.2975010547259,26.2100685374552,23.7436639877543,24.390873626371,22.8106627361766,22.1370413719574,20.6343227166798,25.7403140364582,26.4201990834448,22.0428967527575,25.7739707394105,29.9755825210461,33.5976188725451,33.7014323213923,34.5208917527827
Africa Eastern and Southern,AFE,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,63.793870084647,63.1336708563811,62.5749968146997,62.2208352093746,61.8890756766915,61.2885003042224,60.3379272629382,59.5407124153863,59.4256649684519,58.8069790714228,58.242894137346,57.7812779797719,57.2628559916976,56.6642811897493,56.0444872823572,56.4796394545696,56.2291849761315,55.5773470067055,..
Africa Eastern and Southern,AFE,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,9.76088731295034,10.0005620614351,10.9450277797119,12.1914821307912,12.5078465329155,10.9061337467252,10.1130289027178,10.839279796386,11.1693427354166,11.9650929912911,12.8562394206678,12.9927693028971,12.446983160879,11.9139864893255,12.6275737797666,14.6442681024484,13.4044384367582,13.8407446717648,14.2318015672532
Africa Western and Central,AFW,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,54.4214969829428,53.8577991327742,53.0314046193462,52.2094997954629,51.2689405048033,50.3082155412163,49.7428223552651,48.8647863156027,48.0426130902519,46.7408416172237,45.7409509343362,46.0214235959414,45.8710980737993,45.507763945467,45.4614080148851,45.7295968020984,45.5124313181405,44.9608248674884,..
Africa Western and Central,AFW,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,23.2290542611762,22.3539062121965,22.137519479432,22.6814644472709,23.7006055527405,22.1316483154515,20.5539867434108,20.3790798156056,19.5292686332717,19.1550125164734,20.1708131496129,20.4519248258547,20.3095620048709,20.3692612830041,20.5497114799083,22.2460073462302,21.5151777514013,21.7902024230433,21.2095995991568
Albania,ALB,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,46.9627184183368,46.357760432955,45.4934620699764,44.6560325183224,44.0516349157035,42.084408429302,45.3880219685875,45.9956311064524,44.1980267602681,42.2570628093978,41.2835252576312,40.0408524130362,38.0783461432966,37.2857324793531,36.4168555932713,36.190744246996,35.640847997783,34.9267183023205,..
Albania,ALB,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,18.8453087247237,17.7083536239523,17.1536195739533,16.8370538440754,16.7943836018798,17.9558663972347,18.2267896025292,18.7668018946422,19.5651578123229,19.9901813581977,19.7802144171366,19.8499944651163,19.0221266422351,17.9155539877413,18.1604049243108,18.8061378645762,17.7932042707089,16.9844794042968,16.2225675343538
Algeria,DZA,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,19.593491890214,18.0170135793283,16.3800207477477,14.8298016434904,13.3557270061977,12.0062071267124,10.7719601925648,10.7550270524873,10.7532946787282,9.74631397641877,8.83476688460494,8.53515461678069,10.1612902922086,10.0921269795812,9.79844155538574,10.0237908954664,10.0330984152051,9.7432301594001,..
Algeria,DZA,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,6.5592713699842,6.36600271426263,6.32601878401142,5.54975092049628,8.01121741497815,7.53171561491377,7.08352512171367,8.02697167412095,9.12007464194984,9.40707440856373,10.5327896965018,11.0683130545794,11.0318809304784,11.2438301354995,11.4791798857164,12.8341693887186,11.2354345605089,10.6131779036563,13.086784145579
